PlateVoltage,0V,-0.5V,-1.0V,-1.5V,-2.0V,-2.5V,-3.0V,-3.5V,-4.0V,-5.0V
90.18,0.0163869,0.0132635,0.0102375,0.0078344,0.0059511,0.0045828,0.0031653,0.0019972,0.0011951,0.0002164
90.863,0.0163911,0.0132668,0.0102399,0.0078373,0.005954,0.0045831,0.0031664,0.0019958,0.0011954,0.0002167
91.546,0.0163952,0.01327,0.0102423,0.0078402,0.0059568,0.0045834,0.0031676,0.0019944,0.0011957,0.0002171
92.229,0.0163993,0.0132733,0.0102448,0.0078431,0.0059596,0.0045837,0.0031688,0.001993,0.001196,0.0002174
92.912,0.0164034,0.0132765,0.0102472,0.007846,0.0059625,0.004584,0.0031699,0.0019916,0.0011963,0.0002177
93.596,0.0164075,0.0132798,0.0102497,0.0078489,0.0059653,0.0045843,0.0031711,0.0019902,0.0011966,0.000218
94.279,0.0164117,0.013283,0.0102521,0.0078518,0.0059681,0.0045847,0.0031722,0.0019888,0.0011969,0.0002183
94.962,0.0164158,0.0132863,0.0102546,0.0078547,0.0059709,0.004585,0.0031734,0.0019875,0.0011972,0.0002186
95.645,0.0164199,0.0132895,0.010257,0.0078576,0.0059738,0.0045853,0.0031746,0.0019861,0.0011975,0.0002189
96.328,0.016424,0.0132928,0.0102594,0.0078605,0.0059766,0.0045856,0.0031757,0.0019847,0.0011978,0.0002192
97.011,0.0164281,0.013296,0.0102619,0.0078635,0.0059794,0.0045859,0.0031769,0.0019833,0.0011981,0.0002195
97.694,0.0164323,0.0132993,0.0102643,0.0078664,0.0059823,0.0045862,0.0031781,0.0019819,0.0011984,0.0002198
98.377,0.0164364,0.0133025,0.0102668,0.0078693,0.0059851,0.0045865,0.0031792,0.0019805,0.0011988,0.0002201
99.061,0.0164405,0.0133058,0.0102692,0.0078722,0.0059879,0.0045868,0.0031804,0.0019791,0.0011991,0.0002204
99.744,0.0164446,0.013309,0.0102716,0.0078749,0.0059907,0.0045871,0.0031815,0.0019777,0.0011994,0.0002208
100.427,0.0164487,0.0133123,0.0102741,0.0078769,0.005993,0.0045874,0.0031838,0.0019783,0.0012006,0.0002211
101.11,0.0164528,0.0133155,0.0102765,0.007879,0.0059942,0.0045877,0.0031868,0.0019795,0.0012017,0.0002205
101.793,0.016457,0.0133188,0.010279,0.007881,0.0059953,0.004588,0.0031897,0.0019806,0.0012029,0.0002199
102.476,0.0164611,0.013322,0.0102814,0.007883,0.0059965,0.0045884,0.0031927,0.0019818,0.001204,0.0002193
103.159,0.0164652,0.0133252,0.0102838,0.0078851,0.0059976,0.0045887,0.0031956,0.0019829,0.0012052,0.0002187
103.842,0.0164693,0.0133285,0.0102863,0.0078871,0.0059988,0.004589,0.0031986,0.0019841,0.0012063,0.0002181
