PlateVoltage,0V,-2V,-4V,-6V,-8V,-10V,-12V,-14V,-16V
248.63,0.14707,0.11944,0.09275,0.06986,0.0511,0.03411,0.02165,0.01222,0.00636
250,0.14711,0.11949,0.09281,0.06996,0.05113,0.03417,0.02166,0.01221,0.00632
251.37,0.14715,0.11954,0.09287,0.07005,0.05117,0.03422,0.02168,0.0122,0.00628
252.75,0.1472,0.11959,0.09293,0.07014,0.05121,0.03427,0.02168,0.0122,0.00624
254.12,0.14724,0.11964,0.093,0.07023,0.05126,0.03431,0.02169,0.01219,0.0062
255.49,0.1473,0.1197,0.09306,0.07032,0.05131,0.03436,0.02169,0.01219,0.00616
256.87,0.14736,0.11975,0.09313,0.0704,0.05137,0.03439,0.02168,0.01219,0.00612
258.24,0.14742,0.1198,0.0932,0.07048,0.05143,0.03443,0.02168,0.01219,0.00609
259.62,0.14749,0.11986,0.09327,0.07055,0.0515,0.03447,0.02166,0.0122,0.00606
260.99,0.14757,0.11991,0.09333,0.07062,0.05158,0.0345,0.02165,0.01221,0.00604
262.36,0.14765,0.11997,0.0934,0.07068,0.05165,0.03453,0.02164,0.01222,0.00603
263.74,0.14774,0.12003,0.09348,0.07073,0.05173,0.03456,0.02162,0.01223,0.00603
265.11,0.14783,0.12009,0.09355,0.07077,0.05181,0.03458,0.02161,0.01224,0.00604
266.48,0.14793,0.12015,0.09362,0.07081,0.05189,0.03461,0.02159,0.01226,0.00607
267.86,0.14803,0.12022,0.09369,0.07085,0.05196,0.03463,0.02158,0.01228,0.00609
269.23,0.14813,0.12028,0.09376,0.07087,0.05202,0.03466,0.02157,0.0123,0.00613
270.6,0.14824,0.12035,0.09383,0.0709,0.05208,0.03468,0.02155,0.01233,0.00616
271.98,0.14835,0.12042,0.0939,0.07092,0.05214,0.0347,0.02155,0.01236,0.0062
273.35,0.14846,0.1205,0.09397,0.07093,0.05219,0.03472,0.02154,0.01241,0.00625
274.73,0.14857,0.12057,0.09404,0.07095,0.05223,0.03475,0.02154,0.01246,0.00629
276.1,0.14868,0.12064,0.09411,0.07096,0.05227,0.03477,0.02154,0.01251,0.00633
277.47,0.14879,0.12072,0.09417,0.07097,0.0523,0.03479,0.02155,0.01258,0.00637
278.85,0.1489,0.1208,0.09424,0.07097,0.05233,0.03481,0.02156,0.01264,0.00641
280.22,0.149,0.12087,0.0943,0.07098,0.05236,0.03483,0.02158,0.01271,0.00645
281.59,0.14911,0.12095,0.09437,0.07099,0.05239,0.03486,0.02161,0.01277,0.00649
282.97,0.14921,0.12103,0.09443,0.07099,0.05241,0.03488,0.02164,0.01283,0.00652
284.34,0.14931,0.12111,0.09449,0.071,0.05243,0.0349,0.02168,0.01288,0.00655
285.71,0.14939,0.12119,0.09455,0.07101,0.05245,0.03493,0.02172,0.01293,0.00658
287.09,0.14948,0.12127,0.0946,0.07102,0.05247,0.03495,0.02176,0.01297,0.00661
288.46,0.14956,0.12135,0.09466,0.07103,0.05249,0.03498,0.02182,0.013,0.00663
289.83,0.14963,0.12143,0.09471,0.07105,0.05251,0.035,0.02187,0.01303,0.00665
291.21,0.1497,0.12151,0.09476,0.07106,0.05253,0.03503,0.02193,0.01305,0.00666
292.58,0.14977,0.12159,0.0948,0.07108,0.05255,0.03506,0.02199,0.01307,0.00667
293.96,0.14984,0.12167,0.09485,0.07111,0.05257,0.03508,0.02205,0.01309,0.00668
295.33,0.14991,0.12174,0.09489,0.07114,0.05259,0.03511,0.02211,0.01311,0.00669
