PlateVoltage,0V,-5V,-10V,-15V,-20V,-25V,-30V,-35V,-40V,-45V,-50V
85.16,0.08462,0.03745,0.01458,0.00175,9e-05,-0.00017,8e-05,-0.00014,-0.0004,-4e-05,4e-05
85.76,0.08565,0.03804,0.01495,0.00199,9e-05,-0.00017,8e-05,-0.00013,-0.00039,-4e-05,4e-05
86.35,0.0867,0.03867,0.01533,0.00225,9e-05,-0.00017,9e-05,-0.00013,-0.00037,-5e-05,4e-05
86.94,0.08775,0.03934,0.01571,0.00252,8e-05,-0.00017,9e-05,-0.00012,-0.00035,-5e-05,3e-05
87.54,0.0888,0.04004,0.01609,0.0028,8e-05,-0.00016,9e-05,-0.00011,-0.00033,-6e-05,3e-05
88.13,0.08985,0.04077,0.01647,0.00309,8e-05,-0.00016,9e-05,-0.0001,-0.00031,-6e-05,2e-05
88.72,0.0909,0.04153,0.01684,0.00336,7e-05,-0.00016,0.0001,-9e-05,-0.00029,-7e-05,2e-05
89.32,0.09195,0.04232,0.01721,0.00362,6e-05,-0.00016,0.0001,-8e-05,-0.00027,-7e-05,2e-05
89.91,0.09298,0.04311,0.01758,0.00386,5e-05,-0.00016,0.0001,-7e-05,-0.00025,-7e-05,1e-05
90.5,0.09401,0.0439,0.01794,0.0041,3e-05,-0.00016,9e-05,-6e-05,-0.00023,-8e-05,9e-06
91.1,0.09503,0.04469,0.01829,0.00432,2e-05,-0.00016,9e-05,-5e-05,-0.00021,-8e-05,5e-06
91.69,0.09605,0.04545,0.01865,0.00454,3.75533e-07,-0.00016,9e-05,-5e-05,-0.00019,-9e-05,9.38018e-07
92.28,0.09709,0.04617,0.01901,0.00476,-2e-05,-0.00016,9e-05,-4e-05,-0.00016,-9e-05,-3e-06
92.88,0.09816,0.04686,0.01936,0.00498,-3e-05,-0.00016,8e-05,-3e-05,-0.00014,-9e-05,-7e-06
93.47,0.09926,0.04753,0.01972,0.00519,-4e-05,-0.00016,8e-05,-2e-05,-0.00012,-0.0001,-1e-05
94.06,0.10041,0.04817,0.02008,0.00541,-5e-05,-0.00016,7e-05,-1e-05,-0.0001,-0.0001,-1e-05
